billing_id,order_id,payment_id,email,voucher_id,final_amount,status_of_payment
79,53,2,cbisseker8p@blinklist.com,,4,paid
80,53,3,cbisseker8p@blinklist.com,,5.96,paid
81,54,0,mkoppell7@forbes.com,,74,paid
82,54,1,mkoppell7@forbes.com,,52.94,pending
83,55,0,tkighly1v@e-recht24.de,,527,paid
84,55,1,tkighly1v@e-recht24.de,,106,pending
85,55,2,tkighly1v@e-recht24.de,,15,paid
86,55,3,tkighly1v@e-recht24.de,,11.91,pending
87,56,0,ptorrentpf@quantcast.com,USN4Z,0.99,pending
88,57,0,rlandypt@xing.com,,64.05,pending
89,58,0,kcrowley8y@mayoclinic.com,,92,paid
90,59,0,rkerrey95@wikispaces.com,JA5NH,59,pending
91,59,1,rkerrey95@wikispaces.com,JA5NH,25.95,pending
92,62,0,sserganton@ameblo.jp,,53.97,paid
93,63,0,crallsff@ifeng.com,ZS8PY,45,pending
94,63,1,crallsff@ifeng.com,ZS8PY,15,pending
95,63,2,crallsff@ifeng.com,ZS8PY,11.43,paid
96,66,0,gtuplingi8@discuz.net,,9,paid
97,66,1,gtuplingi8@discuz.net,,45,pending
98,66,2,gtuplingi8@discuz.net,,28,pending
99,66,3,gtuplingi8@discuz.net,,8.41,paid
100,69,0,yweighell5s@gizmodo.com,TT3ZW,22,pending
101,69,1,yweighell5s@gizmodo.com,TT3ZW,17,pending
102,69,2,yweighell5s@gizmodo.com,TT3ZW,22.45,paid
103,70,0,zcadiganh8@sitemeter.com,0D49C,57,pending
104,70,1,zcadiganh8@sitemeter.com,0D49C,48,pending
105,70,2,zcadiganh8@sitemeter.com,0D49C,1.97,pending
106,73,0,tkighly1v@e-recht24.de,FRDTF,166,pending
107,73,1,tkighly1v@e-recht24.de,FRDTF,24,pending
108,73,2,tkighly1v@e-recht24.de,FRDTF,3,paid
109,73,3,tkighly1v@e-recht24.de,FRDTF,16.96,pending
110,74,0,kposner22@msn.com,R7E25,-23,paid
111,75,0,bibbesonpe@fda.gov,,731.95,paid
112,76,0,kbassingden9@weather.com,O6MVV,17,pending
113,76,1,kbassingden9@weather.com,O6MVV,3.96,paid
114,77,0,dmousdallra@cnn.com,8TYE6,4,pending
115,77,1,dmousdallra@cnn.com,8TYE6,17,pending
116,77,2,dmousdallra@cnn.com,8TYE6,4,pending
117,77,3,dmousdallra@cnn.com,8TYE6,0.97,pending
118,78,0,jpauliche7@123-reg.co.uk,YFM53,325.91,pending
119,79,0,fmarshlandmj@nyu.edu,,928.61,paid
120,82,0,mwilliam4b@scientificamerican.com,JTPWR,9.99,paid
121,85,0,kpear67@tumblr.com,USN4Z,223,paid
122,85,1,kpear67@tumblr.com,USN4Z,281.98,pending
123,86,0,tshopcottkm@over-blog.com,Y7T5A,49,pending
124,86,1,tshopcottkm@over-blog.com,Y7T5A,23.7,paid
125,88,0,jkail2q@blogtalkradio.com,MF4V5,799.97,pending
126,89,0,rwollacottaz@aboutads.info,,59,pending
127,89,1,rwollacottaz@aboutads.info,,4,paid
128,89,2,rwollacottaz@aboutads.info,,0.96,paid
129,91,0,mcammiemileih@unc.edu,HUGHY,373.93,pending
130,93,0,mdyble70@ow.ly,,240,pending
131,93,1,mdyble70@ow.ly,,145,pending
132,93,2,mdyble70@ow.ly,,311.1,paid
133,96,0,jtarbard6h@earthlink.net,,124.95,pending
134,99,0,wdriutti4p@ebay.com,,118,paid
135,99,1,wdriutti4p@ebay.com,,110,paid
136,99,2,wdriutti4p@ebay.com,,1,paid
137,99,3,wdriutti4p@ebay.com,,7.15,paid
138,100,0,aeddiesfu@house.gov,,67.96,paid
139,101,0,hwellum5t@biblegateway.com,,4,pending
140,101,1,hwellum5t@biblegateway.com,,16,pending
141,101,2,hwellum5t@biblegateway.com,,11.98,paid
142,105,0,tkighly1v@e-recht24.de,HFC5S,10,pending
143,105,1,tkighly1v@e-recht24.de,HFC5S,24,paid
144,105,2,tkighly1v@e-recht24.de,HFC5S,54,paid
145,105,3,tkighly1v@e-recht24.de,HFC5S,134.96,pending
146,106,0,aspellworth6b@godaddy.com,,470,paid
147,106,1,aspellworth6b@godaddy.com,,23.81,paid
148,107,0,rkerkhamg9@independent.co.uk,QWVMD,566,pending
149,107,1,rkerkhamg9@independent.co.uk,QWVMD,77.95,pending
150,108,0,epirdy6y@paginegialle.it,65HWO,46.96,pending
151,110,0,kbassingden9@weather.com,,22,paid
152,110,1,kbassingden9@weather.com,,372.97,pending
153,111,0,koffin11@arizona.edu,,131.98,pending
154,112,0,gmcpheebr@mapy.cz,9MNR9,68,pending
155,112,1,gmcpheebr@mapy.cz,9MNR9,39,paid
156,112,2,gmcpheebr@mapy.cz,9MNR9,0.96,paid
157,113,0,gfrostkh@live.com,,43,paid
158,113,1,gfrostkh@live.com,,48,pending
159,113,2,gfrostkh@live.com,,7.42,pending
160,114,0,rmesiask4@icq.com,F2HPS,62.96,pending
161,115,0,bbroxholmens@blogtalkradio.com,60GE2,77.92,paid
162,117,0,lboribalrk@cnn.com,,3,pending
163,117,1,lboribalrk@cnn.com,,8,pending
164,117,2,lboribalrk@cnn.com,,16.98,paid
165,120,0,uosgarr7@ca.gov,,296.95,paid
166,121,0,htittletross2w@craigslist.org,,25,paid
167,121,1,htittletross2w@craigslist.org,,53,pending
168,121,2,htittletross2w@craigslist.org,,19,paid
169,121,3,htittletross2w@craigslist.org,,12.45,pending
170,122,0,mzecchii5c@ucoz.com,,33,pending
171,122,1,mzecchii5c@ucoz.com,,18,paid
172,122,2,mzecchii5c@ucoz.com,,1,paid
173,122,3,mzecchii5c@ucoz.com,,0.76,pending
174,123,0,jhighnam9e@meetup.com,,471,paid
175,123,1,jhighnam9e@meetup.com,,728.98,paid
176,125,0,mwoollard6g@bbc.co.uk,,132,pending
177,125,1,mwoollard6g@bbc.co.uk,,17,pending
178,125,2,mwoollard6g@bbc.co.uk,,45,paid
179,125,3,mwoollard6g@bbc.co.uk,,5.94,pending
180,127,0,ahusthwaite1z@hc360.com,55MJI,53.95,paid
181,128,0,tlongden6@washington.edu,,7,pending
182,128,1,tlongden6@washington.edu,,3,paid
183,128,2,tlongden6@washington.edu,,0.99,paid
184,130,0,cspoorsd2@independent.co.uk,,84.51,paid
185,132,0,ejerche42@tinyurl.com,2W0CE,638,pending
186,132,1,ejerche42@tinyurl.com,2W0CE,1448,pending
187,133,0,nlait8x@163.com,93KKX,520.96,paid
188,139,0,pspaunton1o@constantcontact.com,VAEGE,1.39,pending
189,140,0,gkewishke@flickr.com,66FRE,2,paid
190,140,1,gkewishke@flickr.com,66FRE,5.49,paid
191,141,0,wslixbyo8@jiathis.com,,108,pending
192,141,1,wslixbyo8@jiathis.com,,309,paid
193,141,2,wslixbyo8@jiathis.com,,111.53,pending
194,144,0,escamel1b@sun.com,0Z5O8,88,pending
195,144,1,escamel1b@sun.com,0Z5O8,347,pending
196,144,2,escamel1b@sun.com,0Z5O8,534.45,pending
197,146,0,tfinnan8s@upenn.edu,,119,pending
198,146,1,tfinnan8s@upenn.edu,,17.89,pending
199,147,0,bsandys6j@cdbaby.com,,953.96,paid
200,148,0,ahirthe93@loc.gov,,51,pending
201,148,1,ahirthe93@loc.gov,,9,paid
202,148,2,ahirthe93@loc.gov,,1,pending
203,148,3,ahirthe93@loc.gov,,48.41,paid
204,149,0,cbolverbz@amazonaws.com,,494.21,paid
205,150,0,tdeason9v@tinyurl.com,,29.74,paid
206,151,0,tdeason9v@tinyurl.com,BLX1D,31.96,paid
207,152,0,rstephen5@scientificamerican.com,KROYF,50,paid
208,152,1,rstephen5@scientificamerican.com,KROYF,14,pending
209,152,2,rstephen5@scientificamerican.com,KROYF,8,paid
210,152,3,rstephen5@scientificamerican.com,KROYF,19.72,paid
211,156,0,fmacanelleyfx@fotki.com,,2153.98,pending
212,158,0,gmurriganlj@mapquest.com,JTPWR,21.98,paid
213,159,0,eformav@theglobeandmail.com,HOO21,1623.92,pending
214,161,0,aanthonymc@shutterfly.com,XQU7Q,829.93,pending
215,162,0,bmaxwellp3@japanpost.jp,,164.42,pending
216,163,0,hrouxfb@altervista.org,,249.19,paid
217,164,0,smaccarterf3@mediafire.com,QWVMD,236.07,pending
218,165,0,mhyamsfn@hostgator.com,6WT75,27,paid
219,165,1,mhyamsfn@hostgator.com,6WT75,3,paid
220,165,2,mhyamsfn@hostgator.com,6WT75,41,paid
221,165,3,mhyamsfn@hostgator.com,6WT75,16.95,pending
222,167,0,kcongreave4x@pbs.org,ONWC5,-4,pending
223,168,0,bmccaghanbq@independent.co.uk,WKE08,34,pending
224,168,1,bmccaghanbq@independent.co.uk,WKE08,46.28,paid
225,173,0,smoonf4@independent.co.uk,,37,paid
226,173,1,smoonf4@independent.co.uk,,7,paid
227,173,2,smoonf4@independent.co.uk,,0.94,paid
228,174,0,tpettkom7@feedburner.com,,422.44,paid
229,175,0,acoursf7@cbslocal.com,,21,paid
230,175,1,acoursf7@cbslocal.com,,58.99,pending
231,176,0,anorthidgeq4@yellowpages.com,CF4MV,1513,paid
232,176,1,anorthidgeq4@yellowpages.com,CF4MV,367,paid
233,176,2,anorthidgeq4@yellowpages.com,CF4MV,10,paid
234,176,3,anorthidgeq4@yellowpages.com,CF4MV,24.65,pending
235,177,0,bculpencd@timesonline.co.uk,,226.28,paid
236,178,0,tmcquadeeq@senate.gov,T89JO,107.29,paid
237,179,0,cmackrillou@webs.com,,66,paid
238,179,1,cmackrillou@webs.com,,6,paid
239,179,2,cmackrillou@webs.com,,7,pending
240,179,3,cmackrillou@webs.com,,6.68,paid
241,180,0,sbozwardgm@altervista.org,,147,pending
242,180,1,sbozwardgm@altervista.org,,79,pending
243,180,2,sbozwardgm@altervista.org,,395.95,pending
244,182,0,jtarbard6h@earthlink.net,LDWEG,1416.47,pending
245,183,0,apostinql@myspace.com,VAEGE,731.59,pending
246,184,0,rmesiask4@icq.com,CDI46,144.71,pending
247,186,0,mfusedaledj@live.com,ULOEB,5,pending
248,186,1,mfusedaledj@live.com,ULOEB,3,paid
249,186,2,mfusedaledj@live.com,ULOEB,2,pending
250,186,3,mfusedaledj@live.com,ULOEB,6.98,pending
251,187,0,rwrightimpd@behance.net,,211.84,paid
252,188,0,jfluckerg0@squidoo.com,,14,paid
253,188,1,jfluckerg0@squidoo.com,,2,pending
254,188,2,jfluckerg0@squidoo.com,,0.99,pending
255,192,0,avannuccininm@ycombinator.com,C7LHH,1289.34,pending
256,197,0,rgioanihe@cdc.gov,24LOQ,44,paid
257,197,1,rgioanihe@cdc.gov,24LOQ,97,paid
258,197,2,rgioanihe@cdc.gov,24LOQ,12,paid
259,197,3,rgioanihe@cdc.gov,24LOQ,0.69,paid
260,198,0,cluesleym9@hexun.com,,13.19,paid
261,200,0,mcammiemileih@unc.edu,4W6S0,50.96,paid
262,201,0,bkeniwellif@surveymonkey.com,,276,paid
263,201,1,bkeniwellif@surveymonkey.com,,139,pending
264,201,2,bkeniwellif@surveymonkey.com,,37.8,paid
265,203,0,dmousdallra@cnn.com,9T162,-9.22,paid
266,205,0,kkubackieo@microsoft.com,,23,pending
267,205,1,kkubackieo@microsoft.com,,16,pending
268,205,2,kkubackieo@microsoft.com,,26.95,paid
269,208,0,cfossitt3x@weebly.com,UTDFB,720.59,pending
270,209,0,dtrahmelmf@fotki.com,ZBI2M,3,paid
271,209,1,dtrahmelmf@fotki.com,ZBI2M,0.52,paid
272,211,0,espendered@qq.com,,92,pending
273,211,1,espendered@qq.com,,113,pending
274,211,2,espendered@qq.com,,11,pending
275,211,3,espendered@qq.com,,6.68,paid
276,216,0,ebruntd1@etsy.com,,1423.92,paid
277,218,0,afurley21@pbs.org,2DEU8,455,paid
278,218,1,afurley21@pbs.org,2DEU8,134.97,paid
279,220,0,nbeldham4f@narod.ru,FQEIB,638,paid
280,220,1,nbeldham4f@narod.ru,FQEIB,409,pending
281,220,2,nbeldham4f@narod.ru,FQEIB,165.96,pending
282,221,0,lrenac44@vimeo.com,EVR83,27,pending
283,221,1,lrenac44@vimeo.com,EVR83,248.88,pending
284,222,0,voxtoby50@ustream.tv,YL1BJ,-2,paid
285,223,0,vcadle3y@com.com,,38,pending
286,223,1,vcadle3y@com.com,,40,paid
287,223,2,vcadle3y@com.com,,19.51,pending
288,224,0,majsik3k@nba.com,,95.94,pending
289,225,0,csamsino9@state.gov,65HWO,115.19,paid
290,226,0,rgolbourn4c@newsvine.com,,596.82,paid
291,227,0,mhughlin2a@forbes.com,,26.98,pending
292,228,0,cdefilippisas@mapy.cz,,719.97,paid
293,229,0,dwaytej0@state.tx.us,RBHPK,1092,pending
294,229,1,dwaytej0@state.tx.us,RBHPK,808.49,paid
295,231,0,psedworthey@cornell.edu,0D8LJ,25,pending
296,231,1,psedworthey@cornell.edu,0D8LJ,27,paid
297,231,2,psedworthey@cornell.edu,0D8LJ,2,pending
298,231,3,psedworthey@cornell.edu,0D8LJ,5.26,pending
299,233,0,nhudeln7@cnbc.com,,383,paid
300,233,1,nhudeln7@cnbc.com,,1,paid
301,233,2,nhudeln7@cnbc.com,,632.36,pending
302,234,0,jchiccoak@bandcamp.com,SVPOF,1917.19,pending
303,235,0,nohernr1@posterous.com,D1M4N,4,pending
304,235,1,nohernr1@posterous.com,D1M4N,14,pending
305,236,0,jhighnam9e@meetup.com,5M9IM,10,paid
306,236,1,jhighnam9e@meetup.com,5M9IM,132.71,paid
307,237,0,tfinnan8s@upenn.edu,ZT4BT,113,paid
308,237,1,tfinnan8s@upenn.edu,ZT4BT,269.98,paid
309,239,0,wpeiserky@mysql.com,0FR7H,234.91,paid
310,241,0,jvedstraac@acquirethisname.com,RRCWC,140,pending
311,241,1,jvedstraac@acquirethisname.com,RRCWC,15,pending
312,241,2,jvedstraac@acquirethisname.com,RRCWC,118.88,paid
313,244,0,hpargetterhg@dyndns.org,KMGUQ,36.58,pending
314,245,0,cdevenny2f@instagram.com,,14,pending
315,245,1,cdevenny2f@instagram.com,,3,paid
316,245,2,cdevenny2f@instagram.com,,2,pending
317,245,3,cdevenny2f@instagram.com,,0.95,paid
318,246,0,kbassingden9@weather.com,,124,pending
319,246,1,kbassingden9@weather.com,,271.95,paid
320,247,0,kcantuafy@omniture.com,,4,paid
321,247,1,kcantuafy@omniture.com,,53.24,paid
322,249,0,ldrancekg@cbslocal.com,UTDFB,127,paid
323,249,1,ldrancekg@cbslocal.com,UTDFB,109.95,paid
324,250,0,dbentzen8d@ed.gov,,31.98,pending
325,251,0,jfluckerg0@squidoo.com,,32,pending
326,251,1,jfluckerg0@squidoo.com,,9,pending
327,251,2,jfluckerg0@squidoo.com,,42.05,paid
328,252,0,nlait8x@163.com,WBTRS,232.98,paid
329,253,0,gbreakwelln2@123-reg.co.uk,6A73Q,25,paid
330,253,1,gbreakwelln2@123-reg.co.uk,6A73Q,13,pending
331,253,2,gbreakwelln2@123-reg.co.uk,6A73Q,2,paid
332,253,3,gbreakwelln2@123-reg.co.uk,6A73Q,0.48,pending
333,255,0,ltrattonkp@arizona.edu,HOO21,397,pending
334,255,1,ltrattonkp@arizona.edu,HOO21,72.85,paid
335,259,0,fmansourrn@mail.ru,,89.94,paid
336,260,0,jmolineauxf2@1688.com,,607.97,paid
337,261,0,dtweddellcr@simplemachines.org,ZJUGH,11,paid
338,261,1,dtweddellcr@simplemachines.org,ZJUGH,3,paid
339,261,2,dtweddellcr@simplemachines.org,ZJUGH,0.97,paid
340,263,0,bmaxwellp3@japanpost.jp,,59.95,pending
341,264,0,esamberjp@loc.gov,,318,pending
342,264,1,esamberjp@loc.gov,,7,paid
343,264,2,esamberjp@loc.gov,,3,paid
344,264,3,esamberjp@loc.gov,,81.9,pending
345,265,0,jmacdowalik@blogger.com,95MS9,219,pending
346,265,1,jmacdowalik@blogger.com,95MS9,472.88,paid
347,266,0,vgreenheadfe@miibeian.gov.cn,S5U8Q,337,paid
348,266,1,vgreenheadfe@miibeian.gov.cn,S5U8Q,559,paid
349,266,2,vgreenheadfe@miibeian.gov.cn,S5U8Q,484,paid
350,266,3,vgreenheadfe@miibeian.gov.cn,S5U8Q,699.98,paid
351,269,0,kcrowley8y@mayoclinic.com,,68,pending
352,271,0,jvedstraac@acquirethisname.com,,731,paid
353,271,1,jvedstraac@acquirethisname.com,,150,paid
354,271,2,jvedstraac@acquirethisname.com,,311.45,paid
355,272,0,kjarleyjm@thetimes.co.uk,0L7N4,602.26,paid
356,273,0,omoults@sbwire.com,,364,pending
357,273,1,omoults@sbwire.com,,81,pending
358,273,2,omoults@sbwire.com,,226,pending
359,273,3,omoults@sbwire.com,,194.36,pending
360,275,0,hdybaldoa@trellian.com,YFM53,4851.36,paid
361,276,0,aanthonymc@shutterfly.com,,150.72,paid
362,277,0,kcantuafy@omniture.com,Y22YJ,49,pending
363,277,1,kcantuafy@omniture.com,Y22YJ,17.97,pending
364,278,0,ateal1y@webs.com,CL9CL,223,paid
365,278,1,ateal1y@webs.com,CL9CL,44,paid
366,278,2,ateal1y@webs.com,CL9CL,18,pending
367,278,3,ateal1y@webs.com,CL9CL,5.95,paid
368,280,0,vbarrowcliffkc@angelfire.com,,25,pending
369,280,1,vbarrowcliffkc@angelfire.com,,88,paid
370,280,2,vbarrowcliffkc@angelfire.com,,1,paid
371,280,3,vbarrowcliffkc@angelfire.com,,1.91,pending
372,282,0,tdepietrial@bloglines.com,90875,7,pending
373,282,1,tdepietrial@bloglines.com,90875,29.26,paid
374,284,0,aspellworth6b@godaddy.com,B3C8U,-17,pending
375,285,0,ndownsko@typepad.com,5HAO6,61.76,pending
376,288,0,kposner22@msn.com,,33.98,pending
377,289,0,fsalwayja@bloomberg.com,7V0P9,9,paid
378,289,1,fsalwayja@bloomberg.com,7V0P9,6.98,pending
379,290,0,ndownsko@typepad.com,,918.77,pending
380,291,0,avannuccininm@ycombinator.com,,154.48,pending
381,294,0,jmecozzibi@yelp.com,5M9IM,61.48,pending
382,295,0,catlayhx@imdb.com,,42,pending
383,295,1,catlayhx@imdb.com,,9,paid
384,295,2,catlayhx@imdb.com,,16.96,paid
385,297,0,sserganton@ameblo.jp,,56.97,paid
386,298,0,wpedrocco6c@forbes.com,ZKULW,112,pending
387,298,1,wpedrocco6c@forbes.com,ZKULW,14.75,pending
388,299,0,psermine3@myspace.com,8RXFN,1395,pending
389,299,1,psermine3@myspace.com,8RXFN,6,paid
390,299,2,psermine3@myspace.com,8RXFN,4.59,pending
391,300,0,kwagenl0@loc.gov,VW0AZ,979,pending
392,300,1,kwagenl0@loc.gov,VW0AZ,295,pending
393,300,2,kwagenl0@loc.gov,VW0AZ,55,pending
394,300,3,kwagenl0@loc.gov,VW0AZ,1031.93,pending
395,301,0,ccaretoy@nsw.gov.au,L72Q2,45,pending
396,301,1,ccaretoy@nsw.gov.au,L72Q2,0.96,paid
397,302,0,lmarcus5w@ox.ac.uk,LDWEG,368.04,paid
398,303,0,cadicotri@va.gov,,40.49,paid
399,305,0,hsokellrg@ibm.com,,1196.39,paid
400,306,0,emarchington7m@themeforest.net,KROYF,75,paid
401,306,1,emarchington7m@themeforest.net,KROYF,59,pending
402,306,2,emarchington7m@themeforest.net,KROYF,11.36,paid
403,309,0,ghaggart8i@networkadvertising.org,HOO21,231,paid
404,309,1,ghaggart8i@networkadvertising.org,HOO21,135,paid
405,309,2,ghaggart8i@networkadvertising.org,HOO21,46,pending
406,309,3,ghaggart8i@networkadvertising.org,HOO21,12.42,paid
407,313,0,lhughsi6@harvard.edu,,24,pending
408,313,1,lhughsi6@harvard.edu,,15.38,pending
409,314,0,ljacke7a@harvard.edu,HDHDP,1,pending
410,314,1,ljacke7a@harvard.edu,HDHDP,3.98,pending
411,315,0,gegiloffoi@va.gov,EU3P9,74.24,pending
412,318,0,ghaggart8i@networkadvertising.org,,128,paid
413,318,1,ghaggart8i@networkadvertising.org,,27,paid
414,318,2,ghaggart8i@networkadvertising.org,,8,paid
415,318,3,ghaggart8i@networkadvertising.org,,21.41,pending
416,319,0,jmacdowalik@blogger.com,,9,paid
417,319,1,jmacdowalik@blogger.com,,17.24,paid
418,320,0,tdeason9v@tinyurl.com,,68.45,paid
419,323,0,uheberdena8@addtoany.com,CDI46,682,pending
420,323,1,uheberdena8@addtoany.com,CDI46,466.94,pending
421,324,0,edugancn@canalblog.com,WBTRS,29,pending
422,324,1,edugancn@canalblog.com,WBTRS,168,paid
423,324,2,edugancn@canalblog.com,WBTRS,3050.86,pending
424,326,0,ovassieog@mozilla.com,,323.88,paid
425,327,0,hwittletongy@ezinearticles.com,TV3RQ,-21,pending
426,328,0,wbenardette8r@wikispaces.com,MJM7H,0.38,pending
427,329,0,rtredget3c@sun.com,ODPDL,9.76,pending
428,330,0,gbraybrookskf@globo.com,,221,pending
429,330,1,gbraybrookskf@globo.com,,155,pending
430,330,2,gbraybrookskf@globo.com,,14,paid
431,330,3,gbraybrookskf@globo.com,,0.92,pending
432,333,0,hsokellrg@ibm.com,,30,pending
433,336,0,nhudeln7@cnbc.com,CDI46,29,paid
434,336,1,nhudeln7@cnbc.com,CDI46,24,paid
435,336,2,nhudeln7@cnbc.com,CDI46,10.32,pending
436,337,0,hheckle73@bandcamp.com,,81,pending
437,337,1,hheckle73@bandcamp.com,,23,paid
438,337,2,hheckle73@bandcamp.com,,61.91,paid
439,341,0,cgowmana7@bbb.org,,1465.46,pending
440,343,0,efrarey7p@canalblog.com,,119.97,paid
441,345,0,aaberkirder56@uiuc.edu,74FFC,8,paid
442,345,1,aaberkirder56@uiuc.edu,74FFC,10,paid
443,345,2,aaberkirder56@uiuc.edu,74FFC,1.24,paid
444,346,0,aantoszczykqh@thetimes.co.uk,,339.47,paid
445,347,0,wsailla0@shinystat.com,,2,pending
446,347,1,wsailla0@shinystat.com,,16,paid
447,348,0,aeytoncq@miitbeian.gov.cn,KROYF,1558.84,pending
448,350,0,rkerkhamg9@independent.co.uk,LDWEG,563,pending
449,350,1,rkerkhamg9@independent.co.uk,LDWEG,137.97,paid
450,351,0,miacoboni1r@ycombinator.com,,285.28,pending
451,352,0,rmesiask4@icq.com,INF6S,381.93,paid
452,356,0,bkeniwellif@surveymonkey.com,,23,pending
453,356,1,bkeniwellif@surveymonkey.com,,14,paid
454,356,2,bkeniwellif@surveymonkey.com,,8.43,paid
455,357,0,tjohnsonj9@bbb.org,,132.97,pending
456,359,0,ababbidgeaf@dailymotion.com,65HWO,68.15,paid
457,364,0,drusselim@state.tx.us,KHLR1,53,paid
458,364,1,drusselim@state.tx.us,KHLR1,64,paid
459,364,2,drusselim@state.tx.us,KHLR1,80.73,paid
460,365,0,dadkinsba@google.ca,,151.33,paid
461,368,0,amurrayad@rediff.com,,1026,pending
462,368,1,amurrayad@rediff.com,,143.35,paid
463,370,0,tschruyer5v@disqus.com,1ZALO,536,pending
464,370,1,tschruyer5v@disqus.com,1ZALO,21.07,paid
465,371,0,alugg1a@github.io,HOO21,13,paid
466,371,1,alugg1a@github.io,HOO21,24,pending
467,371,2,alugg1a@github.io,HOO21,26,pending
468,371,3,alugg1a@github.io,HOO21,57.74,pending
469,373,0,nnewelln6@bbc.co.uk,0M2VQ,815.95,paid
